TextId	ZhCN
UI_LEVEL_FORMAT	等级：{0}
UI_POWER_FORMAT	战力：{0}
UI_CONFIRM	确认
UI_CANCEL	取消
UI_CLOSE	关闭
CHAT_EMPTY_INPUT	请输入聊天内容
CONFIRM_DELETE_TITLE	确认删除
CONFIRM_DELETE_CONTENT	是否删除这封邮件？
HERO_1001_NAME	曹操
HERO_1001_DESC	乱世之奸雄，治世之能臣。
HERO_1002_NAME	刘备
HERO_1002_DESC	弘毅宽厚，知人待士。
HERO_1003_NAME	孙权
HERO_1003_DESC	承父兄基业，据江东而立。
HERO_1004_NAME	关羽
HERO_1004_DESC	忠义无双，威震华夏。
HERO_1005_NAME	张飞
HERO_1005_DESC	勇猛刚烈，万人莫敌。
SOLDIER_CAVALRY	骑兵
SOLDIER_INFANTRY	步兵
SOLDIER_ARCHER	弓兵
RARITY_5	五星
RARITY_4	四星
RARITY_3	三星
CAMP_0	群
CAMP_1	汉
CAMP_2	魏
CAMP_3	蜀
CAMP_4	吴
CAMP_5	群
CAMP_6	晋
